Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,d13C,d15N,C_ug,wt-percent_C,wt-percent_C_num,N_ug,wt-percent_N,wt-percent_N_num,dry-weight_mg,dry-weight_ug,CN_molar-ratio
2015,HM363,Host,Pachyseris,Shallow,Vaavu,Medhu Faru,-16.9,4.9,205.6,0.057,5.7,37.3,0.010,1.0,3.607,3607,6.4
2015,HM364,Host,Pachyseris,Shallow,Vaavu,Medhu Faru,-17.5,4.7,289.6,0.079,7.9,60.3,0.016,1.6,3.684,3684,5.6
2015,HM366,Host,Galaxea,Shallow,Vaavu,Medhu Faru,-15.3,5.5,439.9,0.119,11.9,83.6,0.023,2.3,3.694,3694,6.1
2015,HM370,Host,Galaxea,Shallow,Vaavu,Medhu Faru,-15.4,6.4,438.7,0.118,11.8,93.4,0.025,2.5,3.718,3718,5.5
2015,HM373,Host,Galaxea,Shallow,Vaavu,Medhu Faru,-14.8,5.3,456.7,0.125,12.5,86.5,0.024,2.4,3.665,3665,6.2
2015,HM378,Host,Galaxea,Shallow,Vaavu,Medhu Faru,-16.2,6.0,380.1,0.105,10.5,73.4,0.020,2.0,3.615,3615,6.0
2015,HM385,Host,Pachyseris,Shallow,South Male,Maafushi S. Male,-14.8,5.1,372.9,0.103,10.3,66.3,0.018,1.8,3.608,3608,6.6
2015,HM386,Host,Pachyseris,Shallow,South Male,Maafushi S. Male,-14.7,5.3,442.2,0.121,12.1,74.1,0.020,2.0,3.660,3660,7.0
2015,HM388,Host,Pachyseris,Shallow,South Male,Maafushi S. Male,-15.5,5.4,407.7,0.112,11.2,76.5,0.021,2.1,3.632,3632,6.2
2015,HM391,Host,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-18.7,5.1,487.7,0.133,13.3,94.0,0.026,2.6,3.677,3677,6.1
2015,HM394,Host,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-17.4,5.3,279.4,0.077,7.7,50.4,0.014,1.4,3.632,3632,6.5
2015,HM395,Host,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-17.2,5.9,285.3,0.078,7.8,48.7,0.013,1.3,3.654,3654,6.8
2015,HM396,Host,Galaxea,Deep,South Male,Fushidiggaru Falhu,-16.7,5.0,396.8,0.107,10.7,67.9,0.018,1.8,3.696,3696,6.8
2015,HM398,Host,Galaxea,Deep,South Male,Fushidiggaru Falhu,-17.8,5.1,245.8,0.068,6.8,50.6,0.014,1.4,3.627,3627,5.7
